m/z 198	m/z 192	m/z 184	m/z 178	m/z 170	m/z 156	m/z 142	m/z 205	m/z 259	m/z 253	m/z 231	m/z 218	m/z 217	m/z 191	m/z 177	m/z 219	m/z 206	Retention time (min)
67666.898438	47814.554688	22175.816406	215632.46875	38559.152344	41659.949219	67790.046875	776.969666	208.964554	468.503265	424.547791	266.509674	315.699463	7196.367188	118942.421875	206.711884	1176.574463	11.165777595404185
58315.625	53665.027344	24580.626953	242736.234375	38745.410156	34694.292969	48401.457031	740.468445	199.093811	360.220154	281.975159	280.500702	379.748627	7877.041504	114675.515625	417.003448	1523.885864	11.189577349199835
51393.066406	58891.628906	22688.75	204749.90625	35843.457031	39834.183594	54797.933594	691.065674	239.58429	384.147461	340.191986	267.894012	472.246765	9660.199219	147419.40625	338.373474	1829.995117	11.213377102995487
57452.496094	53132.664063	30529.744141	153580.796875	43316.4375	32000.107422	83175.65625	727.788025	273.18573	408.803802	344.091125	342.706757	473.483673	8235.111328	157862.6875	396.868805	2449.03833	11.237176856791137
89306.828125	42296.402344	34425.03125	202060.59375	67261.359375	31118.318359	107942.765625	694.006409	194.514786	382.70575	420.681427	387.424042	446.001282	10999.120117	178681.578125	407.648804	2590.955566	11.260976610586788
65084.054688	40148.488281	27334.009766	212017.28125	79943.5	24110.376953	90934.484375	697.880981	276.61795	359.679504	339.356445	247.980545	398.13031	12928.745117	194817.328125	354.854736	2007.042603	11.284776364382438
15273.694336	33155.613281	12177.501953	213714.34375	15140.418945	20312.828125	48311.605469	694.424194	162.756439	302.822479	394.419556	227.575577	348.694733	9764.993164	124454.453125	249.348526	1548.393677	11.308576118178088
13065.477539	36756.226563	12619.820313	171553.09375	12799.361328	26454.960938	59347.105469	640.092651	289.232819	309.858948	308.654816	206.62178	303.543335	12575.787109	142658.328125	312.406494	1993.936279	11.332375871973738
13145.22168	47345.582031	15611.560547	207036.921875	10624.253906	25768.345703	48307.058594	521.059753	307.499817	465.251251	396.090607	298.358124	312.750549	12080.182617	181577.140625	309.506714	2136.336914	11.356175625769389
13878.128906	54356.085938	16626.328125	281309.96875	11485.390625	29159.867188	46031.933594	659.733276	260.398834	313.553314	311.611938	301.74939	289.118134	13867.881836	242835.8125	333.155518	2273.630127	11.379975379565039
13487.55957	58302.109375	15776.55957	274487.53125	19831.796875	25449.826172	63333.695313	696.373718	254.034042	334.998596	351.496216	345.975159	395.164978	29428.671875	259062.0625	417.560486	3639.374268	11.40377513336069
10024.542969	72199.640625	8110.699707	247791.609375	25994.796875	17890.748047	80787.796875	790.68219	256.491486	435.696411	344.697296	321.67926	347.384094	69917.585938	218530.921875	337.423279	5261.933594	11.42757488715634
9740.000977	84793.617188	7207.885254	205297.34375	33392.46875	15602.038086	113606.585938	1115.965698	195.481384	349.284515	342.862396	257.048523	311.505432	72221.46875	207825.484375	325.03775	5277.71875	11.45137464095199
20612.005859	67875.28125	9844.171875	217741.453125	69397.398438	15429.594727	98465.929688	974.588989	239.322159	417.666962	390.34021	195.309357	286.791748	42913.085938	247992.25	219.801865	3528.756592	11.47517439474764
16227.707031	68859.53125	9521.874023	245185.828125	70888.484375	17941.927734	83893.046875	968.846802	301.970551	223.471649	311.325226	341.99411	447.934479	19547.882813	196381.234375	358.483551	3937.978271	11.49897414854329
12504.738281	62087.109375	9134.0625	218583.0	45868.261719	18006.240234	66746.109375	958.304382	238.462051	281.868683	324.447968	297.801086	399.457306	18765.695313	183690.015625	302.953552	6578.672363	11.52277390233894
7444.102051	72514.921875	9854.005859	209602.640625	29497.160156	13807.583008	72909.03125	1253.336792	242.541412	479.768585	287.070282	279.312927	363.472168	24145.669922	170829.21875	443.257141	9720.120117	11.54657365613459
6210.293457	86919.992188	5151.677246	279474.09375	19447.207031	16708.560547	88508.453125	1036.844238	287.201324	388.669128	260.947662	280.246765	383.680542	25692.900391	224263.609375	343.378479	6707.311523	11.570373409930243
8219.867188	108761.875	6966.625	331101.375	27710.992188	23274.185547	139351.234375	1095.085571	288.249847	266.976563	284.145905	210.850632	246.039169	24144.253906	395817.65625	340.552399	7426.375488	11.594173163725893
10739.466797	106586.398438	8395.615234	259944.3125	28074.914063	28088.554688	161851.046875	942.4375	193.482651	314.012024	252.584152	338.537323	505.094574	30164.998047	559240.9375	351.676422	7233.257324	11.617972917521543
15778.945313	79213.015625	8873.858398	215208.078125	40534.632813	32297.416016	155146.984375	1112.197632	270.851135	320.491486	324.513489	295.949829	429.872253	41439.308594	416012.75	322.809662	7883.132324	11.641772671317193
